id,dpa_month,dpa_year,region_id,division_id,position_category,item_status,item_number,position_title,sg,year_created,years_unfilled,vacancy_aging_status,position_status,name_of_incumbent,first_day_of_service,date_of_vacancy,reason_for_vacancy,status_of_vacancy,other_remarks,tentative_date_to_fill_up,is_audited,created_at,updated_at
0788a01b-6c6e-4d77-9177-fe99bf76918b,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ATY3-30001-2021,Attorney III,21,2021,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
58abdf79-7795-4b43-9d99-90f1892d0454,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-LEA2-30027-2015,Legal Assistant II,12,2015,0,New Vacancy,UNFILLED,,,,,,,,false,,
f608fe56-82c2-47b3-a1c8-efe83e1954a8,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ADA4-84-2004,Administrative Aide IV,4,2004,3,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
fdeefc7e-a091-47c4-96e5-2bd556ecfdb8,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-ADA3-30228-2004,Administrative Aide III,3,2004,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
ce94edb5-2b28-4f46-80ac-7b5d9c0bad43,8,2026,National Capital Region (NCR),Regional Office - Proper,Teaching-Related,Regular,OSEC-DECSB-EPSVR-30140-2010,Education Program Supervisor,22,2010,2,Extended Vacancy,UNFILLED,,,,,,,,false,,
7ac05494-92af-48c8-a4d9-cc3e72cad5aa,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-ADA3-30229-2004,Administrative Aide III,3,2004,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
d3e39d37-4731-462d-b7c2-cfe860f020e9,8,2026,National Capital Region (NCR),Regional Office - Proper,Teaching-Related,CTI,OSEC-DECSB-EPSVR-30163-2010,Education Program Supervisor,22,2010,0,New Vacancy,UNFILLED,,,,,,,,false,,
ee2c20db-f36a-450d-ac56-75a12fefe473,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-HEPO3-30011-2015,Health Education and Promotion Officer III,18,2015,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
cdcf89ec-f8e5-4f75-bf04-55a5cb4bf20b,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,Regular,OSEC-DECSB-PDO2-30001-2024,Project Development Officer II,15,2024,1,Aging Vacancy,UNFILLED,,,,,,,,false,,
75924e98-647d-44f1-a426-5ba125669bff,8,2026,National Capital Region (NCR),Regional Office - Proper,Non-Teaching,CTI,OSEC-DECSB-HEPO2-30009-2015,Health Education and Promotion Officer II,14,2015,4,Long-Term Unfilled,UNFILLED,,,,,,,,false,,
